Hour,3621133
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.213735015
12,1
13,0.785311501
14,0.551850096
15,0.58527175
16,0.072936612
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0.24616021
36,0.345056719
37,0.553902103
38,0.551464673
39,0.334200422
40,0.227012625
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0.155068846
60,1
61,0.741899744
62,0.531844375
63,0.325612345
64,0.220528929
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0.157777548
84,0.861735315
85,1
86,1
87,1
88,0.092294903
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0.164520431
108,0.968009916
109,1
110,1
111,0.849070084
112,0.142165914
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0.252830574
132,0.348082354
133,0.506008968
134,1
135,0.551421699
136,0.22455908
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.243694579
156,0.362595466
157,0.557859736
158,0.650210774
159,0.834838989
160,0.138521185
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0.050844371
180,0.154355746
181,0.154569273
182,0.05040832
183,0.051170033
184,0.02649922
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0.103206395
204,0.222167311
205,0.540671495
206,0.846245889
207,0.532521215
208,0.083204568
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0.18335914
228,0.373587399
229,0.521361415
230,0.523401335
231,0.408842161
232,0.213115921
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0.179173208
252,1
253,0.796609623
254,0.724061523
255,0.746407981
256,0.05613742
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0.084253267
276,0.186819887
277,0.020378654
278,0.010617348
279,0.201934634
280,0.026090565
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0.112484875
300,0.797736347
301,0.474033657
302,0.427314248
303,0.481370117
304,0.020516037
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0.279843736
324,1
325,0.890518467
326,1
327,1
328,0.633019847
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0.20974918
348,1
349,0.613566073
350,1
351,0.506051942
352,0.241059738
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0.151867286
372,1
373,1
374,0.626926946
375,0.731677314
376,0.157507618
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0.262382879
396,1
397,1
398,1
399,1
400,0.255615824
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0.272155426
420,0.537574684
421,0.667433931
422,0.675163872
423,0.562581499
424,0.273417786
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0.262968399
444,0.530771369
445,0.6484663
446,0.655021171
447,0.550958386
448,0.269676366
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0.358811072
468,0.971234306
469,0.419310349
470,0.414937748
471,1
472,0.410581263
473,0.060102573
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0.043887559
492,0.132453397
493,0.175989106
494,0.486400756
495,0.665257031
496,0.267742538
497,0.065144493
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0.715833352
516,0.988868402
517,0.757851141
518,0.739000345
519,0.273110254
520,0.077113681
521,0.010818936
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0.096125763
540,0.3471611
541,0.30246684
542,0.43339775
543,0.526585437
544,0.357253266
545,0.05089218
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0.032680084
564,0.049788823
565,0.042503931
566,0.039482996
567,0.043705994
568,0.031093405
569,0.02445836
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0.270071189
588,0.56397681
589,0.681912126
590,0.689973772
591,0.593435459
592,0.385539531
593,0.147980828
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0.356761751
612,0.483884094
613,0.660317712
614,0.64805939
615,0.538266296
616,0.315279794
617,0.121621945
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0.559111352
636,0.334757741
637,0.988971808
638,0.508952684
639,0.176080426
640,0.069453573
641,0.021590923
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0.011968033
660,0.020859963
661,0.037555211
662,0.019210971
663,0.019059354
664,0.008856114
665,0.018424011
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
