start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
1,Li-Ion,48,0.0,0.0,0.0,0.0
1,H2,48,56.920998245126285,29.043791452070213,27.87720679305607,27877.206793056073
2,Li-Ion,49,0.0,0.0,0.0,0.0
2,H2,49,56.920998245126285,34.23135175777456,22.689646487351723,22689.64648735172
3,Li-Ion,50,0.0,0.0,0.0,0.0
3,H2,50,56.920998245126285,39.046232267985275,17.87476597714101,17874.76597714101
4,Li-Ion,51,0.0,0.0,0.0,0.0
4,H2,51,56.920998245126285,40.805993891890765,16.11500435323552,16115.00435323552
5,Li-Ion,52,0.0,0.0,0.0,0.0
5,H2,52,56.920998245126285,43.3372038491219,13.583794396004386,13583.794396004387
6,Li-Ion,53,0.0,0.0,0.0,0.0
6,H2,53,56.920998245126285,46.23517743390219,10.685820811224097,10685.820811224097
7,Li-Ion,54,0.0,0.0,0.0,0.0
7,H2,54,56.920998245126285,46.58968096467024,10.331317280456048,10331.317280456047
8,Li-Ion,55,0.0,0.0,0.0,0.0
8,H2,55,56.920998245126285,45.50822440003197,11.412773845094314,11412.773845094314
9,Li-Ion,56,0.0,0.0,0.0,0.0
9,H2,56,56.920998245126285,42.32973967452302,14.591258570603266,14591.258570603266
10,Li-Ion,57,0.0,0.0,0.0,0.0
10,H2,57,56.920998245126285,37.73098474635348,19.190013498772807,19190.013498772805
11,Li-Ion,58,0.0,0.0,0.0,0.0
11,H2,58,56.920998245126285,36.601818019191825,20.31918022593446,20319.18022593446
12,Li-Ion,59,0.0,0.0,0.0,0.0
12,H2,59,56.920998245126285,42.85116639221138,14.069831852914902,14069.831852914902
13,Li-Ion,60,0.0,0.0,0.0,0.0
13,H2,60,56.920998245126285,51.837538888827275,5.083459356299009,5083.459356299009
14,Li-Ion,61,0.0,0.0,0.0,0.0
14,H2,61,56.920998245126285,56.293660146455764,0.6273380986705206,627.3380986705206
15,Li-Ion,62,0.0,0.0,0.0,0.0
15,H2,62,56.920998245126285,56.920998245126285,0.0,0.0
16,Li-Ion,63,0.0,0.0,0.0,0.0
16,H2,63,56.920998245126285,56.920998245126285,0.0,0.0
17,Li-Ion,64,0.0,0.0,0.0,0.0
17,H2,64,56.920998245126285,56.920998245126285,0.0,0.0
18,Li-Ion,65,0.0,0.0,0.0,0.0
18,H2,65,56.920998245126285,56.0494513002695,0.8715469448567816,871.5469448567817
19,Li-Ion,66,0.0,0.0,0.0,0.0
19,H2,66,56.920998245126285,53.32838258242722,3.5926156626990675,3592.6156626990673
20,Li-Ion,67,0.0,0.0,0.0,0.0
20,H2,67,56.920998245126285,50.349511045367194,6.5714871997590905,6571.487199759091
21,Li-Ion,68,0.0,0.0,0.0,0.0
21,H2,68,56.920998245126285,49.44258111598358,7.478417129142706,7478.417129142706
22,Li-Ion,69,0.0,0.0,0.0,0.0
22,H2,69,56.920998245126285,47.65713534146599,9.263862903660296,9263.862903660296
23,Li-Ion,70,0.0,0.0,0.0,0.0
