"Scenario","Hour","Solar PV Generation (MW)","Solar PV Curtailment (MW)","Wind Generation (MW)","Wind Curtailment (MW)","Gas CC Generation (MW)","Diesel Generation (MW)","Power from Storage and Gas CC to Storage (MW)","Imports (MW)","Exports (MW)","Hydropower (MW)"
"1","1",0.00000,0.00000,202.11549,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","2",0.00000,0.00000,222.34068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","3",0.00000,0.00000,142.36542,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","4",0.00000,0.00000,32.90765,0.00000,0.00000,0.00000,0.00000,55.79235,0.00000,0.00000
"1","5",0.00000,0.00000,33.15643,0.00000,0.00000,0.00000,0.00000,54.64357,0.00000,0.00000
"1","6",0.00000,0.00000,11.96225,0.00000,0.00000,0.00000,0.00000,76.53775,0.00000,0.00000
"1","7",0.00000,0.00000,14.46086,0.00000,0.00000,0.00000,0.00000,75.93914,0.00000,0.00000
"1","8",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","9",0.00000,0.00000,24.35745,0.00000,0.00000,0.00000,0.00000,73.44255,0.00000,0.00000
"1","10",0.00000,0.00000,20.38012,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","11",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","12",36.22003,0.00000,3.84199,0.00000,0.00000,0.00000,0.00000,67.43798,0.00000,0.00000
"1","13",7.29070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","14",13.08659,0.00000,2.33884,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","15",7.90301,0.00000,22.49098,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","16",2.51621,0.00000,10.13613,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","17",0.00000,0.00000,2.36232,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","18",0.00000,0.00000,0.75651,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","19",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","20",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","21",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","22",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","23",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","24",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","25",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","26",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","27",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","28",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","29",0.00000,0.00000,23.69252,0.00000,0.00000,0.00000,0.00000,62.30748,0.00000,0.00000
"1","30",0.00000,0.00000,50.94557,0.00000,0.00000,0.00000,0.00000,37.35443,0.00000,0.00000
"1","31",0.00000,0.00000,55.03114,0.00000,0.00000,0.00000,0.00000,36.86886,0.00000,0.00000
"1","32",0.00000,0.00000,37.32045,0.00000,0.00000,0.00000,0.00000,59.07955,0.00000,0.00000
"1","33",0.00000,0.00000,17.75571,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","34",0.00000,0.00000,12.98597,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","35",0.00000,0.00000,46.30602,0.00000,0.00000,0.00000,0.00000,63.59398,0.00000,0.00000
"1","36",2.81318,0.00000,2.77804,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","37",101.03017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.96983,0.00000,0.00000
"1","38",112.72441,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37559,0.00000,0.00000
"1","39",63.74531,0.00000,0.68886,0.00000,0.00000,0.00000,0.00000,49.06583,0.00000,0.00000
"1","40",3.44843,0.00000,4.43989,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","41",0.00000,0.00000,7.87073,0.00000,0.00000,0.00000,0.00000,79.56897,0.00000,0.00000
"1","42",0.00000,0.00000,55.30757,0.00000,0.00000,0.00000,0.00000,68.39243,0.00000,0.00000
"1","43",0.00000,0.00000,129.93726,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1","44",0.00000,0.00000,65.40616,0.00000,0.00000,0.00000,0.00000,52.19384,0.00000,0.00000
"1","45",0.00000,0.00000,67.18521,0.00000,0.00000,0.00000,0.00000,46.11479,0.00000,0.00000
"1","46",0.00000,0.00000,54.51181,0.00000,0.00000,0.00000,0.00000,52.88819,0.00000,0.00000
"1","47",0.00000,0.00000,85.90870,0.00000,0.00000,0.00000,0.00000,14.79130,0.00000,0.00000
