"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Li-Ion","56",0.00000,0.00000,236.90382
"1","Vanadium","56",0.00000,0.00000,0.00000
"1","PHS","56",0.00000,0.00000,0.00000
"1","H2","56",0.00000,0.00000,11260.64397
"1","Li-Ion","57",0.00000,0.00000,236.90382
"1","Vanadium","57",0.00000,0.00000,0.00000
"1","PHS","57",0.00000,0.00000,0.00000
"1","H2","57",0.00000,0.00000,11260.64397
"1","Li-Ion","58",0.00000,0.00000,236.90382
"1","Vanadium","58",0.00000,0.00000,0.00000
"1","PHS","58",0.00000,0.00000,0.00000
"1","H2","58",0.00000,0.00000,11260.64397
"1","Li-Ion","59",0.00000,5.58444,230.84664
"1","Vanadium","59",0.00000,0.00000,0.00000
"1","PHS","59",0.00000,0.00000,0.00000
"1","H2","59",0.00000,0.00000,11260.64397
"1","Li-Ion","60",0.00000,0.00000,230.84664
"1","Vanadium","60",0.00000,0.00000,0.00000
"1","PHS","60",0.00000,0.00000,0.00000
"1","H2","60",0.00000,0.00000,11260.64397
"1","Li-Ion","61",0.00000,0.00000,230.84664
"1","Vanadium","61",0.00000,0.00000,0.00000
"1","PHS","61",0.00000,0.00000,0.00000
"1","H2","61",0.00000,0.00000,11260.64397
"1","Li-Ion","62",33.36043,0.00000,261.60344
"1","Vanadium","62",0.00000,0.00000,0.00000
"1","PHS","62",0.00000,0.00000,0.00000
"1","H2","62",0.00000,0.00000,11260.64397
"1","Li-Ion","63",48.43172,0.00000,306.25528
"1","Vanadium","63",0.00000,0.00000,0.00000
"1","PHS","63",0.00000,0.00000,0.00000
"1","H2","63",0.00000,0.00000,11260.64397
"1","Li-Ion","64",52.15721,0.00000,354.34185
"1","Vanadium","64",0.00000,0.00000,0.00000
"1","PHS","64",0.00000,0.00000,0.00000
"1","H2","64",0.00000,0.00000,11260.64397
"1","Li-Ion","65",0.00000,0.00000,354.34185
"1","Vanadium","65",0.00000,0.00000,0.00000
"1","PHS","65",0.00000,0.00000,0.00000
"1","H2","65",0.00000,0.00000,11260.64397
"1","Li-Ion","66",0.00000,0.00000,354.34185
"1","Vanadium","66",0.00000,0.00000,0.00000
"1","PHS","66",0.00000,0.00000,0.00000
"1","H2","66",0.00000,0.00000,11260.64397
"1","Li-Ion","67",0.00000,0.00000,354.34185
"1","Vanadium","67",0.00000,0.00000,0.00000
"1","PHS","67",0.00000,0.00000,0.00000
"1","H2","67",0.00000,0.00000,11260.64397
"1","Li-Ion","68",0.00000,0.00000,354.34185
"1","Vanadium","68",0.00000,0.00000,0.00000
"1","PHS","68",0.00000,0.00000,0.00000
"1","H2","68",0.00000,0.00000,11260.64397
"1","Li-Ion","69",0.00000,0.00000,354.34185
"1","Vanadium","69",0.00000,0.00000,0.00000
"1","PHS","69",0.00000,0.00000,0.00000
"1","H2","69",0.00000,0.00000,11260.64397
"1","Li-Ion","70",0.00000,0.00000,354.34185
"1","Vanadium","70",0.00000,0.00000,0.00000
"1","PHS","70",0.00000,0.00000,0.00000
"1","H2","70",0.00000,0.00000,11260.64397
"1","Li-Ion","71",0.00000,0.00000,354.34185
"1","Vanadium","71",0.00000,0.00000,0.00000
"1","PHS","71",0.00000,0.00000,0.00000
"1","H2","71",0.00000,0.00000,11260.64397
"1","Li-Ion","72",0.00000,0.00000,354.34185
"1","Vanadium","72",0.00000,0.00000,0.00000
"1","PHS","72",0.00000,0.00000,0.00000
"1","H2","72",0.00000,0.00000,11260.64397
"1","Li-Ion","73",0.00000,0.00000,354.34185
"1","Vanadium","73",0.00000,0.00000,0.00000
"1","PHS","73",0.00000,0.00000,0.00000
"1","H2","73",0.00000,0.00000,11260.64397
"1","Li-Ion","74",0.00000,0.00000,354.34185
"1","Vanadium","74",0.00000,0.00000,0.00000
"1","PHS","74",0.00000,0.00000,0.00000
"1","H2","74",0.00000,0.00000,11260.64397
"1","Li-Ion","75",0.00000,0.00000,354.34185
"1","Vanadium","75",0.00000,0.00000,0.00000
"1","PHS","75",0.00000,0.00000,0.00000
"1","H2","75",0.00000,0.00000,11260.64397
"1","Li-Ion","76",0.00000,0.00000,354.34185
"1","Vanadium","76",0.00000,0.00000,0.00000
"1","PHS","76",0.00000,0.00000,0.00000
"1","H2","76",0.00000,0.00000,11260.64397
"1","Li-Ion","77",0.00000,0.00000,354.34185
"1","Vanadium","77",0.00000,0.00000,0.00000
"1","PHS","77",0.00000,0.00000,0.00000
"1","H2","77",0.00000,0.00000,11260.64397
"1","Li-Ion","78",0.00000,0.00000,354.34185
"1","Vanadium","78",0.00000,0.00000,0.00000
"1","PHS","78",0.00000,0.00000,0.00000
"1","H2","78",0.00000,0.00000,11260.64397
"1","Li-Ion","79",0.00000,0.00000,354.34185
"1","Vanadium","79",0.00000,0.00000,0.00000
"1","PHS","79",0.00000,0.00000,0.00000
"1","H2","79",0.00000,0.00000,11260.64397
"1","Li-Ion","80",0.00000,0.00000,354.34185
"1","Vanadium","80",0.00000,0.00000,0.00000
"1","PHS","80",0.00000,0.00000,0.00000
"1","H2","80",0.00000,0.00000,11260.64397
"1","Li-Ion","81",0.00000,0.00000,354.34185
"1","Vanadium","81",0.00000,0.00000,0.00000
"1","PHS","81",0.00000,0.00000,0.00000
"1","H2","81",0.00000,0.00000,11260.64397
"1","Li-Ion","82",0.00000,0.00000,354.34185
"1","Vanadium","82",0.00000,0.00000,0.00000
"1","PHS","82",0.00000,0.00000,0.00000
"1","H2","82",0.00000,0.00000,11260.64397
"1","Li-Ion","83",0.00000,0.00000,354.34185
"1","Vanadium","83",0.00000,0.00000,0.00000
"1","PHS","83",0.00000,0.00000,0.00000
"1","H2","83",0.00000,0.00000,11260.64397
"1","Li-Ion","84",31.54827,0.00000,383.42792
"1","Vanadium","84",0.00000,0.00000,0.00000
"1","PHS","84",0.00000,0.00000,0.00000
