"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Vanadium","28",0.00000,0.00000,0.00000
"1","PHS","28",0.00000,0.00000,0.00000
"1","H2","28",0.00000,0.00000,17324.33348
"1","Li-Ion","29",0.00000,0.00000,188.70142
"1","Vanadium","29",0.00000,0.00000,0.00000
"1","PHS","29",0.00000,0.00000,0.00000
"1","H2","29",0.00000,0.00000,17324.33348
"1","Li-Ion","30",0.00000,0.00000,188.70142
"1","Vanadium","30",0.00000,0.00000,0.00000
"1","PHS","30",0.00000,0.00000,0.00000
"1","H2","30",0.00000,0.00000,17324.33348
"1","Li-Ion","31",0.00000,0.00000,188.70142
"1","Vanadium","31",0.00000,0.00000,0.00000
"1","PHS","31",0.00000,0.00000,0.00000
"1","H2","31",0.00000,0.00000,17324.33348
"1","Li-Ion","32",0.00000,0.00000,188.70142
"1","Vanadium","32",0.00000,0.00000,0.00000
"1","PHS","32",0.00000,0.00000,0.00000
"1","H2","32",0.00000,0.00000,17324.33348
"1","Li-Ion","33",0.00000,13.75794,173.77885
"1","Vanadium","33",0.00000,0.00000,0.00000
"1","PHS","33",0.00000,0.00000,0.00000
"1","H2","33",0.00000,0.00000,17324.33348
"1","Li-Ion","34",0.00000,24.89247,146.77917
"1","Vanadium","34",0.00000,0.00000,0.00000
"1","PHS","34",0.00000,0.00000,0.00000
"1","H2","34",0.00000,0.00000,17324.33348
"1","Li-Ion","35",0.00000,0.00000,146.77917
"1","Vanadium","35",0.00000,0.00000,0.00000
"1","PHS","35",0.00000,0.00000,0.00000
"1","H2","35",0.00000,0.00000,17324.33348
"1","Li-Ion","36",0.00000,37.07620,106.56439
"1","Vanadium","36",0.00000,0.00000,0.00000
"1","PHS","36",0.00000,0.00000,0.00000
"1","H2","36",0.00000,0.00000,17324.33348
"1","Li-Ion","37",0.00000,0.00000,106.56439
"1","Vanadium","37",0.00000,0.00000,0.00000
"1","PHS","37",0.00000,0.00000,0.00000
"1","H2","37",0.00000,0.00000,17324.33348
"1","Li-Ion","38",0.00000,0.00000,106.56439
"1","Vanadium","38",0.00000,0.00000,0.00000
"1","PHS","38",0.00000,0.00000,0.00000
"1","H2","38",0.00000,0.00000,17324.33348
"1","Li-Ion","39",0.00000,0.00000,106.56439
"1","Vanadium","39",0.00000,0.00000,0.00000
"1","PHS","39",0.00000,0.00000,0.00000
"1","H2","39",0.00000,0.00000,17324.33348
"1","Li-Ion","40",0.00000,38.31586,65.00501
"1","Vanadium","40",0.00000,0.00000,0.00000
"1","PHS","40",0.00000,0.00000,0.00000
"1","H2","40",0.00000,0.00000,17324.33348
"1","Li-Ion","41",0.00000,44.10618,17.16514
"1","Vanadium","41",0.00000,0.00000,0.00000
"1","PHS","41",0.00000,0.00000,0.00000
"1","H2","41",0.00000,0.00000,17324.33348
"1","Li-Ion","42",0.00000,0.00000,17.16514
"1","Vanadium","42",0.00000,0.00000,0.00000
"1","PHS","42",0.00000,0.00000,0.00000
"1","H2","42",0.00000,0.00000,17324.33348
"1","Li-Ion","43",21.59938,0.00000,37.07879
"1","Vanadium","43",0.00000,0.00000,0.00000
"1","PHS","43",0.00000,0.00000,0.00000
"1","H2","43",0.00000,0.00000,17324.33348
"1","Li-Ion","44",0.00000,0.00000,37.07879
"1","Vanadium","44",0.00000,0.00000,0.00000
"1","PHS","44",0.00000,0.00000,0.00000
"1","H2","44",0.00000,0.00000,17324.33348
"1","Li-Ion","45",0.00000,0.00000,37.07879
"1","Vanadium","45",0.00000,0.00000,0.00000
"1","PHS","45",0.00000,0.00000,0.00000
"1","H2","45",0.00000,0.00000,17324.33348
"1","Li-Ion","46",0.00000,0.00000,37.07879
"1","Vanadium","46",0.00000,0.00000,0.00000
"1","PHS","46",0.00000,0.00000,0.00000
"1","H2","46",0.00000,0.00000,17324.33348
"1","Li-Ion","47",0.00000,0.00000,37.07879
"1","Vanadium","47",0.00000,0.00000,0.00000
"1","PHS","47",0.00000,0.00000,0.00000
"1","H2","47",0.00000,0.00000,17324.33348
"1","Li-Ion","48",0.00000,13.84105,22.06606
"1","Vanadium","48",0.00000,0.00000,0.00000
"1","PHS","48",0.00000,0.00000,0.00000
"1","H2","48",0.00000,0.00000,17324.33348
"1","Li-Ion","49",0.00000,20.34390,0.00000
"1","Vanadium","49",0.00000,0.00000,0.00000
"1","PHS","49",0.00000,0.00000,0.00000
"1","H2","49",0.00000,0.00000,17324.33348
"1","Li-Ion","50",0.00000,0.00000,0.00000
"1","Vanadium","50",0.00000,0.00000,0.00000
"1","PHS","50",0.00000,0.00000,0.00000
"1","H2","50",0.00000,0.00000,17324.33348
"1","Li-Ion","51",27.77268,0.00000,25.60515
"1","Vanadium","51",0.00000,0.00000,0.00000
"1","PHS","51",0.00000,0.00000,0.00000
"1","H2","51",0.00000,0.00000,17324.33348
"1","Li-Ion","52",68.86090,0.00000,89.09176
"1","Vanadium","52",0.00000,0.00000,0.00000
"1","PHS","52",0.00000,0.00000,0.00000
"1","H2","52",0.00000,0.00000,17324.33348
"1","Li-Ion","53",74.99985,0.00000,158.23820
"1","Vanadium","53",0.00000,0.00000,0.00000
"1","PHS","53",0.00000,0.00000,0.00000
"1","H2","53",15.60223,0.00000,17334.20120
"1","Li-Ion","54",0.00000,0.00000,158.23820
"1","Vanadium","54",0.00000,0.00000,0.00000
"1","PHS","54",0.00000,0.00000,0.00000
"1","H2","54",0.00000,0.00000,17334.20120
"1","Li-Ion","55",33.59526,0.00000,189.21150
"1","Vanadium","55",0.00000,0.00000,0.00000
"1","PHS","55",0.00000,0.00000,0.00000
"1","H2","55",0.00000,0.00000,17334.20120
