start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
1,Li-Ion,96,0.0,0.0,0.0,0.0
1,H2,96,10068.18610819897,10068.18610819897,0.0,0.0
2,Li-Ion,97,0.0,0.0,0.0,0.0
2,H2,97,10068.18610819897,10068.18610819897,0.0,0.0
3,Li-Ion,98,0.0,0.0,0.0,0.0
3,H2,98,10068.18610819897,10068.18610819897,0.0,0.0
4,Li-Ion,99,0.0,0.0,0.0,0.0
4,H2,99,10068.18610819897,10068.18610819897,0.0,0.0
5,Li-Ion,100,0.0,0.0,0.0,0.0
5,H2,100,10068.18610819897,10068.18610819897,0.0,0.0
6,Li-Ion,101,0.0,0.0,0.0,0.0
6,H2,101,10068.18610819897,10068.18610819897,0.0,0.0
7,Li-Ion,102,0.0,0.0,0.0,0.0
7,H2,102,10068.18610819897,10068.18610819897,0.0,0.0
8,Li-Ion,103,0.0,0.0,0.0,0.0
8,H2,103,10068.18610819897,10068.18610819897,0.0,0.0
9,Li-Ion,104,0.0,0.0,0.0,0.0
9,H2,104,10068.18610819897,10068.18610819897,0.0,0.0
10,Li-Ion,105,0.0,0.0,0.0,0.0
10,H2,105,10068.18610819897,10068.18610819897,0.0,0.0
11,Li-Ion,106,0.0,0.0,0.0,0.0
11,H2,106,10068.18610819897,10068.18610819897,0.0,0.0
12,Li-Ion,107,0.0,0.0,0.0,0.0
12,H2,107,10068.18610819897,10068.18610819897,0.0,0.0
13,Li-Ion,108,0.0,0.0,0.0,0.0
13,H2,108,10068.18610819897,10068.18610819897,0.0,0.0
14,Li-Ion,109,0.0,0.0,0.0,0.0
14,H2,109,10068.18610819897,10068.18610819897,0.0,0.0
15,Li-Ion,110,0.0,0.0,0.0,0.0
15,H2,110,10068.18610819897,10068.18610819897,0.0,0.0
16,Li-Ion,111,0.0,0.0,0.0,0.0
16,H2,111,10068.18610819897,10068.18610819897,0.0,0.0
17,Li-Ion,112,0.0,0.0,0.0,0.0
17,H2,112,10068.18610819897,10068.18610819897,0.0,0.0
18,Li-Ion,113,0.0,0.0,0.0,0.0
18,H2,113,10068.18610819897,10068.18610819897,0.0,0.0
19,Li-Ion,114,0.0,0.0,0.0,0.0
19,H2,114,10068.18610819897,10068.18610819897,0.0,0.0
20,Li-Ion,115,0.0,0.0,0.0,0.0
20,H2,115,10068.18610819897,10068.18610819897,0.0,0.0
21,Li-Ion,116,0.0,0.0,0.0,0.0
21,H2,116,10068.18610819897,10068.18610819897,0.0,0.0
22,Li-Ion,117,0.0,0.0,0.0,0.0
22,H2,117,10068.18610819897,10068.18610819897,0.0,0.0
23,Li-Ion,118,0.0,0.0,0.0,0.0
23,H2,118,10068.18610819897,10068.18610819897,0.0,0.0
24,Li-Ion,119,0.0,0.0,0.0,0.0
24,H2,119,10068.18610819897,10068.18610819897,0.0,0.0
25,Li-Ion,120,0.0,0.0,0.0,0.0
25,H2,120,10068.18610819897,10068.18610819897,0.0,0.0
26,Li-Ion,121,0.0,0.0,0.0,0.0
26,H2,121,10068.18610819897,10068.18610819897,0.0,0.0
27,Li-Ion,122,0.0,0.0,0.0,0.0
27,H2,122,10068.18610819897,10068.18610819897,0.0,0.0
28,Li-Ion,123,0.0,0.0,0.0,0.0
28,H2,123,10068.18610819897,10068.18610819897,0.0,0.0
29,Li-Ion,124,0.0,0.0,0.0,0.0
29,H2,124,10068.18610819897,10068.18610819897,0.0,0.0
30,Li-Ion,125,0.0,0.0,0.0,0.0
30,H2,125,10068.18610819897,10068.18610819897,0.0,0.0
31,Li-Ion,126,0.0,0.0,0.0,0.0
31,H2,126,10068.18610819897,10068.18610819897,0.0,0.0
32,Li-Ion,127,0.0,0.0,0.0,0.0
32,H2,127,10068.18610819897,10068.18610819897,0.0,0.0
33,Li-Ion,128,0.0,0.0,0.0,0.0
33,H2,128,10068.18610819897,10068.18610819897,0.0,0.0
34,Li-Ion,129,0.0,0.0,0.0,0.0
34,H2,129,10068.18610819897,10068.18610819897,0.0,0.0
35,Li-Ion,130,0.0,0.0,0.0,0.0
35,H2,130,10068.18610819897,10068.18610819897,0.0,0.0
36,Li-Ion,131,0.0,0.0,0.0,0.0
36,H2,131,10068.18610819897,10068.18610819897,0.0,0.0
37,Li-Ion,132,0.0,0.0,0.0,0.0
37,H2,132,10068.18610819897,10068.18610819897,0.0,0.0
38,Li-Ion,133,0.0,0.0,0.0,0.0
38,H2,133,10068.18610819897,10068.18610819897,0.0,0.0
39,Li-Ion,134,0.0,0.0,0.0,0.0
39,H2,134,10068.18610819897,10068.18610819897,0.0,0.0
40,Li-Ion,135,0.0,0.0,0.0,0.0
40,H2,135,10068.18610819897,10068.18610819897,0.0,0.0
41,Li-Ion,136,0.0,0.0,0.0,0.0
41,H2,136,10068.18610819897,10068.18610819897,0.0,0.0
42,Li-Ion,137,0.0,0.0,0.0,0.0
42,H2,137,10068.18610819897,10068.18610819897,0.0,0.0
43,Li-Ion,138,0.0,0.0,0.0,0.0
43,H2,138,10068.18610819897,10068.18610819897,0.0,0.0
44,Li-Ion,139,0.0,0.0,0.0,0.0
44,H2,139,10068.18610819897,10068.18610819897,0.0,0.0
45,Li-Ion,140,0.0,0.0,0.0,0.0
45,H2,140,10068.18610819897,10068.18610819897,0.0,0.0
46,Li-Ion,141,0.0,0.0,0.0,0.0
46,H2,141,10068.18610819897,10068.18610819897,0.0,0.0
47,Li-Ion,142,0.0,0.0,0.0,0.0
47,H2,142,10068.18610819897,10068.18610819897,0.0,0.0
48,Li-Ion,143,0.0,0.0,0.0,0.0
48,H2,143,10068.18610819897,10068.18610819897,0.0,0.0
49,Li-Ion,144,0.0,0.0,0.0,0.0
49,H2,144,10068.18610819897,10068.18610819897,0.0,0.0
50,Li-Ion,145,0.0,0.0,0.0,0.0
50,H2,145,10068.18610819897,10068.18610819897,0.0,0.0
51,Li-Ion,146,0.0,0.0,0.0,0.0
51,H2,146,10068.18610819897,10068.18610819897,0.0,0.0
52,Li-Ion,147,0.0,0.0,0.0,0.0
52,H2,147,10068.18610819897,10068.18610819897,0.0,0.0
53,Li-Ion,148,0.0,0.0,0.0,0.0
53,H2,148,10068.18610819897,10068.18610819897,0.0,0.0
54,Li-Ion,149,0.0,0.0,0.0,0.0
54,H2,149,10068.18610819897,10068.18610819897,0.0,0.0
55,Li-Ion,150,0.0,0.0,0.0,0.0
55,H2,150,10068.18610819897,10068.18610819897,0.0,0.0
56,Li-Ion,151,0.0,0.0,0.0,0.0
56,H2,151,10068.18610819897,10068.18610819897,0.0,0.0
57,Li-Ion,152,0.0,0.0,0.0,0.0
57,H2,152,10068.18610819897,10068.18610819897,0.0,0.0
58,Li-Ion,153,0.0,0.0,0.0,0.0
58,H2,153,10068.18610819897,10068.18610819897,0.0,0.0
59,Li-Ion,154,0.0,0.0,0.0,0.0
59,H2,154,10068.18610819897,10068.18610819897,0.0,0.0
60,Li-Ion,155,0.0,0.0,0.0,0.0
60,H2,155,10068.18610819897,10068.18610819897,0.0,0.0
61,Li-Ion,156,0.0,0.0,0.0,0.0
61,H2,156,10068.18610819897,10068.18610819897,0.0,0.0
62,Li-Ion,157,0.0,0.0,0.0,0.0
62,H2,157,10068.18610819897,10068.18610819897,0.0,0.0
63,Li-Ion,158,0.0,0.0,0.0,0.0
63,H2,158,10068.18610819897,10068.18610819897,0.0,0.0
64,Li-Ion,159,0.0,0.0,0.0,0.0
64,H2,159,10068.18610819897,10068.18610819897,0.0,0.0
65,Li-Ion,160,0.0,0.0,0.0,0.0
65,H2,160,10068.18610819897,10068.18610819897,0.0,0.0
66,Li-Ion,161,0.0,0.0,0.0,0.0
66,H2,161,10068.18610819897,10068.18610819897,0.0,0.0
67,Li-Ion,162,0.0,0.0,0.0,0.0
67,H2,162,10068.18610819897,10068.18610819897,0.0,0.0
68,Li-Ion,163,0.0,0.0,0.0,0.0
68,H2,163,10068.18610819897,10068.18610819897,0.0,0.0
69,Li-Ion,164,0.0,0.0,0.0,0.0
69,H2,164,10068.18610819897,10068.18610819897,0.0,0.0
70,Li-Ion,165,0.0,0.0,0.0,0.0
70,H2,165,10068.18610819897,10068.18610819897,0.0,0.0
71,Li-Ion,166,0.0,0.0,0.0,0.0
71,H2,166,10068.18610819897,10068.18610819897,0.0,0.0
72,Li-Ion,167,0.0,0.0,0.0,0.0
72,H2,167,10068.18610819897,10068.18610819897,0.0,0.0
73,Li-Ion,168,0.0,0.0,0.0,0.0
73,H2,168,10068.18610819897,10068.18610819897,0.0,0.0
74,Li-Ion,169,0.0,0.0,0.0,0.0
74,H2,169,10068.18610819897,10068.18610819897,0.0,0.0
75,Li-Ion,170,0.0,0.0,0.0,0.0
75,H2,170,10068.18610819897,10068.18610819897,0.0,0.0
76,Li-Ion,171,0.0,0.0,0.0,0.0
76,H2,171,10068.18610819897,10068.18610819897,0.0,0.0
77,Li-Ion,172,0.0,0.0,0.0,0.0
77,H2,172,10068.18610819897,10068.18610819897,0.0,0.0
78,Li-Ion,173,0.0,0.0,0.0,0.0
78,H2,173,10068.18610819897,10068.18610819897,0.0,0.0
79,Li-Ion,174,0.0,0.0,0.0,0.0
79,H2,174,10068.18610819897,10068.18610819897,0.0,0.0
80,Li-Ion,175,0.0,0.0,0.0,0.0
80,H2,175,10068.18610819897,10068.18610819897,0.0,0.0
81,Li-Ion,176,0.0,0.0,0.0,0.0
81,H2,176,10068.18610819897,10068.18610819897,0.0,0.0
82,Li-Ion,177,0.0,0.0,0.0,0.0
82,H2,177,10068.18610819897,10068.18610819897,0.0,0.0
83,Li-Ion,178,0.0,0.0,0.0,0.0
83,H2,178,10068.18610819897,10068.18610819897,0.0,0.0
84,Li-Ion,179,0.0,0.0,0.0,0.0
84,H2,179,10068.18610819897,10068.18610819897,0.0,0.0
85,Li-Ion,180,0.0,0.0,0.0,0.0
85,H2,180,10068.18610819897,10068.18610819897,0.0,0.0
86,Li-Ion,181,0.0,0.0,0.0,0.0
86,H2,181,10068.18610819897,10068.18610819897,0.0,0.0
87,Li-Ion,182,0.0,0.0,0.0,0.0
87,H2,182,10068.18610819897,10068.18610819897,0.0,0.0
88,Li-Ion,183,0.0,0.0,0.0,0.0
88,H2,183,10068.18610819897,10068.18610819897,0.0,0.0
89,Li-Ion,184,0.0,0.0,0.0,0.0
89,H2,184,10068.18610819897,10068.18610819897,0.0,0.0
90,Li-Ion,185,0.0,0.0,0.0,0.0
90,H2,185,10068.18610819897,10068.18610819897,0.0,0.0
91,Li-Ion,186,0.0,0.0,0.0,0.0
91,H2,186,10068.18610819897,10068.18610819897,0.0,0.0
92,Li-Ion,187,0.0,0.0,0.0,0.0
92,H2,187,10068.18610819897,10068.18610819897,0.0,0.0
93,Li-Ion,188,0.0,0.0,0.0,0.0
93,H2,188,10068.18610819897,10068.18610819897,0.0,0.0
94,Li-Ion,189,0.0,0.0,0.0,0.0
94,H2,189,10068.18610819897,10068.18610819897,0.0,0.0
95,Li-Ion,190,0.0,0.0,0.0,0.0
95,H2,190,10068.18610819897,10068.18610819897,0.0,0.0
96,Li-Ion,191,0.0,0.0,0.0,0.0
96,H2,191,10068.18610819897,10068.18610819897,0.0,0.0
97,Li-Ion,192,0.0,0.0,0.0,0.0
97,H2,192,10068.18610819897,10068.18610819897,0.0,0.0
98,Li-Ion,193,0.0,0.0,0.0,0.0
98,H2,193,10068.18610819897,10068.18610819897,0.0,0.0
99,Li-Ion,194,0.0,0.0,0.0,0.0
99,H2,194,10068.18610819897,10068.18610819897,0.0,0.0
100,Li-Ion,195,0.0,0.0,0.0,0.0
100,H2,195,10068.18610819897,10068.18610819897,0.0,0.0
101,Li-Ion,196,0.0,0.0,0.0,0.0
101,H2,196,10068.18610819897,10068.18610819897,0.0,0.0
102,Li-Ion,197,0.0,0.0,0.0,0.0
102,H2,197,10068.18610819897,10068.18610819897,0.0,0.0
103,Li-Ion,198,0.0,0.0,0.0,0.0
103,H2,198,10068.18610819897,10068.18610819897,0.0,0.0
104,Li-Ion,199,0.0,0.0,0.0,0.0
104,H2,199,10068.18610819897,10068.18610819897,0.0,0.0
105,Li-Ion,200,0.0,0.0,0.0,0.0
105,H2,200,10068.18610819897,10068.18610819897,0.0,0.0
106,Li-Ion,201,0.0,0.0,0.0,0.0
106,H2,201,10068.18610819897,10068.18610819897,0.0,0.0
107,Li-Ion,202,0.0,0.0,0.0,0.0
107,H2,202,10068.18610819897,10068.18610819897,0.0,0.0
108,Li-Ion,203,0.0,0.0,0.0,0.0
108,H2,203,10068.18610819897,10068.18610819897,0.0,0.0
109,Li-Ion,204,0.0,0.0,0.0,0.0
109,H2,204,10068.18610819897,10068.18610819897,0.0,0.0
110,Li-Ion,205,0.0,0.0,0.0,0.0
110,H2,205,10068.18610819897,10068.18610819897,0.0,0.0
111,Li-Ion,206,0.0,0.0,0.0,0.0
111,H2,206,10068.18610819897,10068.18610819897,0.0,0.0
112,Li-Ion,207,0.0,0.0,0.0,0.0
112,H2,207,10068.18610819897,10068.18610819897,0.0,0.0
113,Li-Ion,208,0.0,0.0,0.0,0.0
113,H2,208,10068.18610819897,10068.18610819897,0.0,0.0
114,Li-Ion,209,0.0,0.0,0.0,0.0
114,H2,209,10068.18610819897,10068.18610819897,0.0,0.0
115,Li-Ion,210,0.0,0.0,0.0,0.0
115,H2,210,10068.18610819897,10068.18610819897,0.0,0.0
116,Li-Ion,211,0.0,0.0,0.0,0.0
116,H2,211,10068.18610819897,10068.18610819897,0.0,0.0
117,Li-Ion,212,0.0,0.0,0.0,0.0
117,H2,212,10068.18610819897,10068.18610819897,0.0,0.0
118,Li-Ion,213,0.0,0.0,0.0,0.0
118,H2,213,10068.18610819897,10068.18610819897,0.0,0.0
119,Li-Ion,214,0.0,0.0,0.0,0.0
119,H2,214,10068.18610819897,10068.18610819897,0.0,0.0
120,Li-Ion,215,0.0,0.0,0.0,0.0
120,H2,215,10068.18610819897,10068.18610819897,0.0,0.0
121,Li-Ion,216,0.0,0.0,0.0,0.0
121,H2,216,10068.18610819897,10068.18610819897,0.0,0.0
122,Li-Ion,217,0.0,0.0,0.0,0.0
122,H2,217,10068.18610819897,10068.18610819897,0.0,0.0
123,Li-Ion,218,0.0,0.0,0.0,0.0
123,H2,218,10068.18610819897,10068.18610819897,0.0,0.0
124,Li-Ion,219,0.0,0.0,0.0,0.0
124,H2,219,10068.18610819897,10068.18610819897,0.0,0.0
125,Li-Ion,220,0.0,0.0,0.0,0.0
125,H2,220,10068.18610819897,10068.18610819897,0.0,0.0
126,Li-Ion,221,0.0,0.0,0.0,0.0
