hour,EUE,USE_hours,max_unserved_MW,objective_value,solver_status,solve_time_s,truncated,error_message
1,0.0,0,0.0,1323437.0732248772,optimal,1.4859030999941751,False,
2,0.0,0,0.0,1270928.2802578686,optimal,1.4638090999942506,False,
3,0.0,0,0.0,1239542.7231549274,optimal,1.2289389000070514,False,
4,0.0,0,0.0,1245548.5090599838,optimal,1.0860895000078017,False,
5,0.0,0,0.0,1264637.3722322038,optimal,1.1800171000068076,False,
6,0.0,0,0.0,1297139.829677948,optimal,1.1577688999968814,False,
7,0.0,0,0.0,1289064.5789405166,optimal,1.0943994999979623,False,
8,0.0,0,0.0,1320336.451010937,optimal,1.116757099996903,False,
9,0.0,0,0.0,1339678.5760773153,optimal,1.003408299991861,False,
10,0.0,0,0.0,1367145.3673418262,optimal,1.0044047999981558,False,
11,0.0,0,0.0,1417940.695961511,optimal,0.9253787999914493,False,
12,0.0,0,0.0,1430911.6702195907,optimal,1.013791699995636,False,
13,0.0,0,0.0,1457586.7082200616,optimal,0.9620323999988614,False,
14,0.0,0,0.0,1475078.2948167396,optimal,0.8254006000061054,False,
15,0.0,0,0.0,1483971.4131944408,optimal,0.7870145999913802,False,
16,0.0,0,0.0,1527777.622801514,optimal,0.771290599994245,False,
17,0.0,0,0.0,1596036.1344757027,optimal,0.754502700001467,False,
18,0.0,0,0.0,1641558.5867688209,optimal,0.7511342999932822,False,
19,0.0,0,0.0,1710833.7397432816,optimal,0.6823524999927031,False,
20,0.0,0,0.0,1749322.6987842608,optimal,0.6743133999989368,False,
21,0.0,0,0.0,1783249.7196300335,optimal,0.10604700000840239,False,
22,0.0,0,0.0,1808184.4211248667,optimal,0.09338560000469442,False,
23,0.0,0,0.0,1834832.314245966,optimal,0.12346839999372605,False,
24,0.0,0,0.0,1862532.5795038962,optimal,0.10210709999955725,False,
25,0.0,0,0.0,1890850.2771394118,optimal,0.11277149998932146,False,
26,0.0,0,0.0,1915460.6667588032,optimal,0.0925751000031596,False,
27,0.0,0,0.0,1930913.4207075688,optimal,0.09504260000539944,False,
28,0.0,0,0.0,1940115.8930499365,optimal,0.08477060000586789,False,
29,0.0,0,0.0,1948389.5885346942,optimal,0.10476009998819791,False,
30,0.0,0,0.0,1950543.4519680082,optimal,0.5941643999976804,False,
31,0.0,0,0.0,1945654.6577867765,optimal,0.09830279999005143,False,
32,0.0,0,0.0,1952209.5917718587,optimal,0.07780739999725483,False,
33,0.0,0,0.0,1971930.0380039737,optimal,0.10219359998882283,False,
34,0.0,0,0.0,1999721.0601804655,optimal,0.095713100003195,False,
35,0.0,0,0.0,2018251.5448588575,optimal,0.08960179999121465,False,
36,0.0,0,0.0,2055676.9673058565,optimal,0.08262060000561178,False,
37,0.0,0,0.0,2072968.6542824153,optimal,0.08586009999271482,False,
38,0.0,0,0.0,2072937.3789444126,optimal,0.05986190000839997,False,
39,0.0,0,0.0,2077929.8528940496,optimal,0.06374919999507256,False,
40,0.0,0,0.0,2073866.3074067961,optimal,0.08004929999879096,False,
41,0.0,0,0.0,2086327.1957940976,optimal,0.0839062000013655,False,
42,0.0,0,0.0,2093932.956984328,optimal,0.07943830000294838,False,
43,0.0,0,0.0,2095836.8953320142,optimal,0.058216699995682575,False,
44,0.0,0,0.0,2112297.2590131285,optimal,0.06667650000599679,False,
45,0.0,0,0.0,2127650.485403338,optimal,0.08279030000267085,False,
46,0.0,0,0.0,2143048.131859173,optimal,0.0710893999930704,False,
47,0.0,0,0.0,2162084.4024223504,optimal,0.07146749999083113,False,
48,0.0,0,0.0,2180600.3260863684,optimal,0.06932129999040626,False,
49,0.0,0,0.0,2199174.537689967,optimal,0.07223350000276696,False,
50,0.0,0,0.0,2215203.8226973126,optimal,0.08369939999829512,False,
51,0.0,0,0.0,2228811.95676168,optimal,0.058570199995301664,False,
52,0.0,0,0.0,2234687.618720173,optimal,0.07438229999388568,False,
53,0.0,0,0.0,2234494.458997566,optimal,0.06621910000103526,False,
54,0.0,0,0.0,2253053.3668815196,optimal,0.052523399994242936,False,
55,0.0,0,0.0,2268299.0815374632,optimal,0.07046210000407882,False,
56,0.0,0,0.0,2280795.353666942,optimal,0.07674590000533499,False,
57,0.0,0,0.0,2285420.606124717,optimal,0.07848609999928158,False,
58,0.0,0,0.0,2287085.975609762,optimal,0.08167230000253767,False,
59,0.0,0,0.0,2298089.789437807,optimal,0.062082799995550886,False,
60,0.0,0,0.0,2299808.5244378066,optimal,0.09390449999773409,False,
61,0.0,0,0.0,2299571.5680241757,optimal,0.054202300001634285,False,
62,0.0,0,0.0,2291719.570316191,optimal,0.06142980000004172,False,
63,0.0,0,0.0,2278670.531296013,optimal,0.06631929999275599,False,
64,0.0,0,0.0,2261877.800380701,optimal,0.06045140000060201,False,
65,0.0,0,0.0,2260590.369067026,optimal,0.05954790000396315,False,
66,0.0,0,0.0,2258826.1723849326,optimal,0.07457100000465289,False,
67,0.0,0,0.0,2261274.4423849336,optimal,0.07841979998920579,False,
68,0.0,0,0.0,2262338.3687146464,optimal,0.06815639999695122,False,
69,0.0,0,0.0,2261073.7334263544,optimal,0.06791369999700692,False,
70,0.0,0,0.0,2256567.4696690766,optimal,0.07164559999364428,False,
71,0.0,0,0.0,2256791.749978319,optimal,0.068083200007095,False,
72,0.0,0,0.0,2260609.0411534705,optimal,0.05106290000549052,False,
73,0.0,0,0.0,2266423.4300446766,optimal,0.08145870000589639,False,
74,0.0,0,0.0,2271802.2050446765,optimal,0.07120009999198373,False,
75,0.0,0,0.0,2277682.5238879668,optimal,0.05651880000368692,False,
76,0.0,0,0.0,2289854.260998241,optimal,0.06324360000144225,False,
77,0.0,0,0.0,2297903.6651668563,optimal,0.07742060000600759,False,
78,0.0,0,0.0,2306067.512802268,optimal,0.05463560001226142,False,
79,0.0,0,0.0,2319730.1836563293,optimal,0.07418580001103692,False,
80,0.0,0,0.0,2330951.1435201066,optimal,0.06471089999831747,False,
81,0.0,0,0.0,2344069.4307306157,optimal,0.09385900000052061,False,
82,0.0,0,0.0,2355118.5752447415,optimal,0.06097799999406561,False,
83,0.0,0,0.0,2365796.7913345075,optimal,0.05964170000515878,False,
84,0.0,0,0.0,2364157.867211399,optimal,0.05709489999571815,False,
85,0.0,0,0.0,2355197.5238852063,optimal,0.06913960000383668,False,
86,0.0,0,0.0,2346982.692841991,optimal,0.0758269000070868,False,
87,0.0,0,0.0,2352794.757263805,optimal,0.06329489999916404,False,
88,0.0,0,0.0,2360482.1963281007,optimal,0.05163420000462793,False,
89,0.0,0,0.0,2372830.6318163527,optimal,0.05967050000617746,False,
90,0.0,0,0.0,2388750.5886849677,optimal,0.07638379999843892,False,
