start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
1,Li-Ion,48,0.0,0.0,0.0,0.0
1,H2,48,113.84199649025257,66.79068251484895,47.05131397540355,47051.31397540355
2,Li-Ion,49,0.0,0.0,0.0,0.0
2,H2,49,113.84199649025257,69.54899591794556,44.29300057230695,44293.00057230695
3,Li-Ion,50,0.0,0.0,0.0,0.0
3,H2,50,113.84199649025257,72.17690655281359,41.665089937438914,41665.08993743891
4,Li-Ion,51,0.0,0.0,0.0,0.0
4,H2,51,113.84199649025257,73.93666817671908,39.905328313533424,39905.32831353342
5,Li-Ion,52,0.0,0.0,0.0,0.0
5,H2,52,113.84199649025257,78.40582063841704,35.436175851835465,35436.17585183546
6,Li-Ion,53,0.0,0.0,0.0,0.0
6,H2,53,113.84199649025257,80.11555355185187,33.72644293840063,33726.44293840063
7,Li-Ion,54,0.0,0.0,0.0,0.0
7,H2,54,113.84199649025257,80.47005708261992,33.37193940763259,33371.93940763259
8,Li-Ion,55,0.0,0.0,0.0,0.0
8,H2,55,113.84199649025257,79.38860051798166,34.45339597227085,34453.395972270846
9,Li-Ion,56,0.0,0.0,0.0,0.0
9,H2,56,113.84199649025257,76.21011579247272,37.6318806977798,37631.8806977798
10,Li-Ion,57,0.0,0.0,0.0,0.0
10,H2,57,113.84199649025257,71.61136086430315,42.23063562594936,42230.63562594936
11,Li-Ion,58,0.0,0.0,0.0,0.0
11,H2,58,113.84199649025257,71.42625345427365,42.41574303597886,42415.74303597886
12,Li-Ion,59,0.0,0.0,0.0,0.0
12,H2,59,113.84199649025257,79.41529879463897,34.42669769561356,34426.69769561356
13,Li-Ion,60,0.0,0.0,0.0,0.0
13,H2,60,113.84199649025257,88.40167129125489,25.440325198997645,25440.325198997645
14,Li-Ion,61,0.0,0.0,0.0,0.0
14,H2,61,113.84199649025257,92.85779254888337,20.984203941369163,20984.203941369164
15,Li-Ion,62,0.0,0.0,0.0,0.0
15,H2,62,113.84199649025257,97.56878635301592,16.27321013723661,16273.21013723661
16,Li-Ion,63,0.0,0.0,0.0,0.0
16,H2,63,113.84199649025257,97.34494658305647,16.497049907196068,16497.04990719607
17,Li-Ion,64,0.0,0.0,0.0,0.0
17,H2,64,113.84199649025257,95.13180343409668,18.710193056155862,18710.193056155862
18,Li-Ion,65,0.0,0.0,0.0,0.0
18,H2,65,113.84199649025257,92.61358370269711,21.228412787555396,21228.412787555397
19,Li-Ion,66,0.0,0.0,0.0,0.0
19,H2,66,113.84199649025257,89.89251498485484,23.94948150539767,23949.48150539767
20,Li-Ion,67,0.0,0.0,0.0,0.0
20,H2,67,113.84199649025257,86.91364344779478,26.92835304245773,26928.35304245773
21,Li-Ion,68,0.0,0.0,0.0,0.0
21,H2,68,113.84199649025257,86.00671351841119,27.835282971841323,27835.282971841323
22,Li-Ion,69,0.0,0.0,0.0,0.0
22,H2,69,113.84199649025257,84.22126774389366,29.620728746358907,29620.728746358905
23,Li-Ion,70,0.0,0.0,0.0,0.0
23,H2,70,113.84199649025257,84.0170370984871,29.824959391765475,29824.959391765475
24,Li-Ion,71,0.0,0.0,0.0,0.0
24,H2,71,113.84199649025257,83.1214513032579,30.72054518699467,30720.54518699467
25,Li-Ion,72,0.0,0.0,0.0,0.0
25,H2,72,113.84199649025257,81.57326747885452,32.26872901139805,32268.729011398053
26,Li-Ion,73,0.0,0.0,0.0,0.0
26,H2,73,113.84199649025257,79.2385000873785,34.60349640287407,34603.49640287407
27,Li-Ion,74,0.0,0.0,0.0,0.0
27,H2,74,113.84199649025257,77.86336607875666,35.978630411495914,35978.63041149591
28,Li-Ion,75,0.0,0.0,0.0,0.0
28,H2,75,113.84199649025257,77.15620881198161,36.685787678270955,36685.78767827096
29,Li-Ion,76,0.0,0.0,0.0,0.0
29,H2,76,113.84199649025257,78.39591665078379,35.44607983946878,35446.07983946878
30,Li-Ion,77,0.0,0.0,0.0,0.0
30,H2,77,113.84199649025257,79.74812467060161,34.09387181965096,34093.87181965096
31,Li-Ion,78,0.0,0.0,0.0,0.0
31,H2,78,113.84199649025257,77.6257092605609,36.21628722969167,36216.287229691676
32,Li-Ion,79,0.0,0.0,0.0,0.0
32,H2,79,113.84199649025257,74.88549291121676,38.95650357903581,38956.50357903581
33,Li-Ion,80,0.0,0.0,0.0,0.0
33,H2,80,113.84199649025257,71.9577243247931,41.884272165459464,41884.272165459464
34,Li-Ion,81,0.0,0.0,0.0,0.0
