,value
n_anchor_hours,8760.0
LOLP,0.09463470319634704
LOLE_hours_per_event,0.5506849315068493
EUE_mean_MWh,1.2536860156893814
EUE_p95_MWh,11.56488130797013
EUE_p99_MWh,24.76155168858356
EUE_max_MWh,47.51747602811287
USE_hours_mean,0.5506849315068493
USE_hours_p95,5.0
max_unserved_MW_mean,0.2466749237591415
max_unserved_MW_p95,3.0
max_unserved_MW_max,3.51081
expected_opex_USD,21622.956926678922
