start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
48,Li-Ion,143,0.0,0.0,0.0,0.0
48,H2,143,6712.124072132646,6712.124072132646,0.0,0.0
49,Li-Ion,144,0.0,0.0,0.0,0.0
49,H2,144,6712.124072132646,6712.124072132646,0.0,0.0
50,Li-Ion,145,0.0,0.0,0.0,0.0
50,H2,145,6712.124072132646,6712.124072132646,0.0,0.0
51,Li-Ion,146,0.0,0.0,0.0,0.0
51,H2,146,6712.124072132646,6712.124072132646,0.0,0.0
52,Li-Ion,147,0.0,0.0,0.0,0.0
52,H2,147,6712.124072132646,6712.124072132646,0.0,0.0
53,Li-Ion,148,0.0,0.0,0.0,0.0
53,H2,148,6712.124072132646,6712.124072132646,0.0,0.0
54,Li-Ion,149,0.0,0.0,0.0,0.0
54,H2,149,6712.124072132646,6712.124072132646,0.0,0.0
55,Li-Ion,150,0.0,0.0,0.0,0.0
55,H2,150,6712.124072132646,6712.124072132646,0.0,0.0
56,Li-Ion,151,0.0,0.0,0.0,0.0
56,H2,151,6712.124072132646,6712.124072132646,0.0,0.0
57,Li-Ion,152,0.0,0.0,0.0,0.0
57,H2,152,6712.124072132646,6712.124072132646,0.0,0.0
58,Li-Ion,153,0.0,0.0,0.0,0.0
58,H2,153,6712.124072132646,6712.124072132646,0.0,0.0
59,Li-Ion,154,0.0,0.0,0.0,0.0
59,H2,154,6712.124072132646,6712.124072132646,0.0,0.0
60,Li-Ion,155,0.0,0.0,0.0,0.0
60,H2,155,6712.124072132646,6712.124072132646,0.0,0.0
61,Li-Ion,156,0.0,0.0,0.0,0.0
61,H2,156,6712.124072132646,6712.124072132646,0.0,0.0
62,Li-Ion,157,0.0,0.0,0.0,0.0
62,H2,157,6712.124072132646,6712.124072132646,0.0,0.0
63,Li-Ion,158,0.0,0.0,0.0,0.0
63,H2,158,6712.124072132646,6712.124072132646,0.0,0.0
64,Li-Ion,159,0.0,0.0,0.0,0.0
64,H2,159,6712.124072132646,6712.124072132646,0.0,0.0
65,Li-Ion,160,0.0,0.0,0.0,0.0
65,H2,160,6712.124072132646,6712.124072132646,0.0,0.0
66,Li-Ion,161,0.0,0.0,0.0,0.0
66,H2,161,6712.124072132646,6712.124072132646,0.0,0.0
67,Li-Ion,162,0.0,0.0,0.0,0.0
67,H2,162,6712.124072132646,6712.124072132646,0.0,0.0
68,Li-Ion,163,0.0,0.0,0.0,0.0
68,H2,163,6712.124072132646,6712.124072132646,0.0,0.0
69,Li-Ion,164,0.0,0.0,0.0,0.0
69,H2,164,6712.124072132646,6712.124072132646,0.0,0.0
70,Li-Ion,165,0.0,0.0,0.0,0.0
70,H2,165,6712.124072132646,6712.124072132646,0.0,0.0
71,Li-Ion,166,0.0,0.0,0.0,0.0
71,H2,166,6712.124072132646,6712.124072132646,0.0,0.0
72,Li-Ion,167,0.0,0.0,0.0,0.0
72,H2,167,6712.124072132646,6712.124072132646,0.0,0.0
73,Li-Ion,168,0.0,0.0,0.0,0.0
73,H2,168,6712.124072132646,6712.124072132646,0.0,0.0
74,Li-Ion,169,0.0,0.0,0.0,0.0
74,H2,169,6712.124072132646,6712.124072132646,0.0,0.0
75,Li-Ion,170,0.0,0.0,0.0,0.0
75,H2,170,6712.124072132646,6712.124072132646,0.0,0.0
76,Li-Ion,171,0.0,0.0,0.0,0.0
76,H2,171,6712.124072132646,6712.124072132646,0.0,0.0
77,Li-Ion,172,0.0,0.0,0.0,0.0
77,H2,172,6712.124072132646,6712.124072132646,0.0,0.0
78,Li-Ion,173,0.0,0.0,0.0,0.0
78,H2,173,6712.124072132646,6712.124072132646,0.0,0.0
79,Li-Ion,174,0.0,0.0,0.0,0.0
79,H2,174,6712.124072132646,6712.124072132646,0.0,0.0
80,Li-Ion,175,0.0,0.0,0.0,0.0
80,H2,175,6712.124072132646,6712.124072132646,0.0,0.0
81,Li-Ion,176,0.0,0.0,0.0,0.0
81,H2,176,6712.124072132646,6712.124072132646,0.0,0.0
82,Li-Ion,177,0.0,0.0,0.0,0.0
82,H2,177,6712.124072132646,6712.124072132646,0.0,0.0
83,Li-Ion,178,0.0,0.0,0.0,0.0
83,H2,178,6712.124072132646,6712.124072132646,0.0,0.0
84,Li-Ion,179,0.0,0.0,0.0,0.0
84,H2,179,6712.124072132646,6712.124072132646,0.0,0.0
85,Li-Ion,180,0.0,0.0,0.0,0.0
85,H2,180,6712.124072132646,6712.124072132646,0.0,0.0
86,Li-Ion,181,0.0,0.0,0.0,0.0
86,H2,181,6712.124072132646,6712.124072132646,0.0,0.0
87,Li-Ion,182,0.0,0.0,0.0,0.0
87,H2,182,6712.124072132646,6712.124072132646,0.0,0.0
88,Li-Ion,183,0.0,0.0,0.0,0.0
88,H2,183,6712.124072132646,6712.124072132646,0.0,0.0
89,Li-Ion,184,0.0,0.0,0.0,0.0
89,H2,184,6712.124072132646,6712.124072132646,0.0,0.0
90,Li-Ion,185,0.0,0.0,0.0,0.0
90,H2,185,6712.124072132646,6712.124072132646,0.0,0.0
91,Li-Ion,186,0.0,0.0,0.0,0.0
91,H2,186,6712.124072132646,6712.124072132646,0.0,0.0
92,Li-Ion,187,0.0,0.0,0.0,0.0
92,H2,187,6712.124072132646,6712.124072132646,0.0,0.0
93,Li-Ion,188,0.0,0.0,0.0,0.0
93,H2,188,6712.124072132646,6712.124072132646,0.0,0.0
94,Li-Ion,189,0.0,0.0,0.0,0.0
94,H2,189,6712.124072132646,6712.124072132646,0.0,0.0
95,Li-Ion,190,0.0,0.0,0.0,0.0
95,H2,190,6712.124072132646,6712.124072132646,0.0,0.0
96,Li-Ion,191,0.0,0.0,0.0,0.0
96,H2,191,6712.124072132646,6712.124072132646,0.0,0.0
97,Li-Ion,192,0.0,0.0,0.0,0.0
97,H2,192,6712.124072132646,6712.124072132646,0.0,0.0
98,Li-Ion,193,0.0,0.0,0.0,0.0
98,H2,193,6712.124072132646,6712.124072132646,0.0,0.0
99,Li-Ion,194,0.0,0.0,0.0,0.0
99,H2,194,6712.124072132646,6712.124072132646,0.0,0.0
100,Li-Ion,195,0.0,0.0,0.0,0.0
100,H2,195,6712.124072132646,6712.124072132646,0.0,0.0
101,Li-Ion,196,0.0,0.0,0.0,0.0
101,H2,196,6712.124072132646,6712.124072132646,0.0,0.0
102,Li-Ion,197,0.0,0.0,0.0,0.0
102,H2,197,6712.124072132646,6712.124072132646,0.0,0.0
103,Li-Ion,198,0.0,0.0,0.0,0.0
103,H2,198,6712.124072132646,6712.124072132646,0.0,0.0
104,Li-Ion,199,0.0,0.0,0.0,0.0
104,H2,199,6712.124072132646,6712.124072132646,0.0,0.0
105,Li-Ion,200,0.0,0.0,0.0,0.0
