tag,soc_frac,LOLP,LOLE_hours_per_event,EUE_mean_MWh,EUE_p95_MWh,EUE_p99_MWh,max_unserved_MW_mean,max_unserved_MW_p95,max_unserved_MW_p99
0.5SOC,0.5,0.1247716894977169,0.9744292237442922,90.31380532978662,797.8277594823101,1447.6606197228173,13.335551736091013,116.8,0.0
0.6SOC,0.6,0.0591324200913242,0.2726027397260274,24.160131347359822,109.10197942572157,740.6482205622094,5.771995367134374,86.00999999999985,0.0
0.7SOC,0.7,0.0134703196347031,0.0396118721461187,3.2822018654945424,0.0,62.16334209406212,1.0986178465273315,0.0,0.0
0.8SOC,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9SOC,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0SOC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
