"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","PHS","32",0.00000,0.00000,0.00000
"1","H2","32",0.00000,0.00000,0.00000
"1","Li-Ion","33",0.00000,0.00000,0.00000
"1","Vanadium","33",0.00000,0.00000,0.00000
"1","PHS","33",0.00000,0.00000,0.00000
"1","H2","33",0.00000,0.00000,0.00000
"1","Li-Ion","34",0.00000,0.00000,0.00000
"1","Vanadium","34",0.00000,0.00000,0.00000
"1","PHS","34",0.00000,0.00000,0.00000
"1","H2","34",0.00000,0.00000,0.00000
"1","Li-Ion","35",0.00000,0.00000,0.00000
"1","Vanadium","35",0.00000,0.00000,0.00000
"1","PHS","35",0.00000,0.00000,0.00000
"1","H2","35",0.00000,0.00000,0.00000
"1","Li-Ion","36",0.00000,0.00000,0.00000
"1","Vanadium","36",0.00000,0.00000,0.00000
"1","PHS","36",0.00000,0.00000,0.00000
"1","H2","36",0.00000,0.00000,0.00000
"1","Li-Ion","37",0.00000,0.00000,0.00000
"1","Vanadium","37",0.00000,0.00000,0.00000
"1","PHS","37",0.00000,0.00000,0.00000
"1","H2","37",0.00000,0.00000,0.00000
"1","Li-Ion","38",0.00000,0.00000,0.00000
"1","Vanadium","38",0.00000,0.00000,0.00000
"1","PHS","38",0.00000,0.00000,0.00000
"1","H2","38",0.00000,0.00000,0.00000
"1","Li-Ion","39",0.00000,0.00000,0.00000
"1","Vanadium","39",0.00000,0.00000,0.00000
"1","PHS","39",0.00000,0.00000,0.00000
"1","H2","39",0.00000,0.00000,0.00000
"1","Li-Ion","40",0.00000,0.00000,0.00000
"1","Vanadium","40",0.00000,0.00000,0.00000
"1","PHS","40",0.00000,0.00000,0.00000
"1","H2","40",0.00000,0.00000,0.00000
"1","Li-Ion","41",0.00000,0.00000,0.00000
"1","Vanadium","41",0.00000,0.00000,0.00000
"1","PHS","41",0.00000,0.00000,0.00000
"1","H2","41",0.00000,0.00000,0.00000
"1","Li-Ion","42",0.00000,0.00000,0.00000
"1","Vanadium","42",0.00000,0.00000,0.00000
"1","PHS","42",0.00000,0.00000,0.00000
"1","H2","42",0.00000,0.00000,0.00000
"1","Li-Ion","43",0.00000,0.00000,0.00000
"1","Vanadium","43",0.00000,0.00000,0.00000
"1","PHS","43",0.00000,0.00000,0.00000
"1","H2","43",0.00000,0.00000,0.00000
"1","Li-Ion","44",0.00000,0.00000,0.00000
"1","Vanadium","44",0.00000,0.00000,0.00000
"1","PHS","44",0.00000,0.00000,0.00000
"1","H2","44",0.00000,0.00000,0.00000
"1","Li-Ion","45",0.00000,0.00000,0.00000
"1","Vanadium","45",0.00000,0.00000,0.00000
"1","PHS","45",0.00000,0.00000,0.00000
"1","H2","45",0.00000,0.00000,0.00000
"1","Li-Ion","46",0.00000,0.00000,0.00000
"1","Vanadium","46",0.00000,0.00000,0.00000
"1","PHS","46",0.00000,0.00000,0.00000
"1","H2","46",0.00000,0.00000,0.00000
"1","Li-Ion","47",0.00000,0.00000,0.00000
"1","Vanadium","47",0.00000,0.00000,0.00000
"1","PHS","47",0.00000,0.00000,0.00000
"1","H2","47",0.00000,0.00000,0.00000
"1","Li-Ion","48",0.00000,0.00000,0.00000
"1","Vanadium","48",0.00000,0.00000,0.00000
"1","PHS","48",0.00000,0.00000,0.00000
"1","H2","48",0.00000,0.00000,0.00000
"1","Li-Ion","49",0.00000,0.00000,0.00000
"1","Vanadium","49",0.00000,0.00000,0.00000
"1","PHS","49",0.00000,0.00000,0.00000
"1","H2","49",0.00000,0.00000,0.00000
"1","Li-Ion","50",0.00000,0.00000,0.00000
"1","Vanadium","50",0.00000,0.00000,0.00000
"1","PHS","50",0.00000,0.00000,0.00000
"1","H2","50",0.00000,0.00000,0.00000
"1","Li-Ion","51",0.00000,0.00000,0.00000
"1","Vanadium","51",0.00000,0.00000,0.00000
"1","PHS","51",0.00000,0.00000,0.00000
"1","H2","51",0.00000,0.00000,0.00000
"1","Li-Ion","52",0.00000,0.00000,0.00000
"1","Vanadium","52",0.00000,0.00000,0.00000
"1","PHS","52",0.00000,0.00000,0.00000
"1","H2","52",0.00000,0.00000,0.00000
"1","Li-Ion","53",0.00000,0.00000,0.00000
"1","Vanadium","53",0.00000,0.00000,0.00000
"1","PHS","53",0.00000,0.00000,0.00000
"1","H2","53",0.00000,0.00000,0.00000
"1","Li-Ion","54",0.00000,0.00000,0.00000
"1","Vanadium","54",0.00000,0.00000,0.00000
"1","PHS","54",0.00000,0.00000,0.00000
"1","H2","54",0.00000,0.00000,0.00000
"1","Li-Ion","55",0.00000,0.00000,0.00000
"1","Vanadium","55",0.00000,0.00000,0.00000
"1","PHS","55",0.00000,0.00000,0.00000
"1","H2","55",0.00000,0.00000,0.00000
"1","Li-Ion","56",0.00000,0.00000,0.00000
"1","Vanadium","56",0.00000,0.00000,0.00000
"1","PHS","56",0.00000,0.00000,0.00000
"1","H2","56",0.00000,0.00000,0.00000
"1","Li-Ion","57",0.00000,0.00000,0.00000
"1","Vanadium","57",0.00000,0.00000,0.00000
"1","PHS","57",0.00000,0.00000,0.00000
"1","H2","57",0.00000,0.00000,0.00000
"1","Li-Ion","58",0.00000,0.00000,0.00000
"1","Vanadium","58",0.00000,0.00000,0.00000
"1","PHS","58",0.00000,0.00000,0.00000
"1","H2","58",0.00000,0.00000,0.00000
"1","Li-Ion","59",0.00000,0.00000,0.00000
"1","Vanadium","59",0.00000,0.00000,0.00000
"1","PHS","59",0.00000,0.00000,0.00000
"1","H2","59",0.00000,0.00000,0.00000
"1","Li-Ion","60",0.00000,0.00000,0.00000
"1","Vanadium","60",0.00000,0.00000,0.00000
"1","PHS","60",0.00000,0.00000,0.00000
"1","H2","60",0.00000,0.00000,0.00000
"1","Li-Ion","61",0.00000,0.00000,0.00000
"1","Vanadium","61",0.00000,0.00000,0.00000
"1","PHS","61",0.00000,0.00000,0.00000
"1","H2","61",0.00000,0.00000,0.00000
"1","Li-Ion","62",0.00000,0.00000,0.00000
"1","Vanadium","62",0.00000,0.00000,0.00000
"1","PHS","62",0.00000,0.00000,0.00000
"1","H2","62",0.00000,0.00000,0.00000
"1","Li-Ion","63",0.00000,0.00000,0.00000
"1","Vanadium","63",0.00000,0.00000,0.00000
"1","PHS","63",0.00000,0.00000,0.00000
"1","H2","63",0.00000,0.00000,0.00000
"1","Li-Ion","64",0.00000,0.00000,0.00000
"1","Vanadium","64",0.00000,0.00000,0.00000
"1","PHS","64",0.00000,0.00000,0.00000
"1","H2","64",0.00000,0.00000,0.00000
"1","Li-Ion","65",0.00000,0.00000,0.00000
