case,tag,soc_frac,n_anchor_hours,LOLP,LOLE_hours_per_event,EUE_mean_MWh,EUE_p95_MWh,EUE_p99_MWh,EUE_total_MWh,EUE_cost_total_USD,max_unserved_MW_mean,max_unserved_MW_p95,max_unserved_MW_p99,expected_opex_USD
mea,0.5SOC,0.5,8760.0,0.1357305936073059,1.117351598173516,104.29618493055226,905.2637116282334,1561.0062811675543,913634.5799916377,9136345799.916378,14.50533624204974,120.2,0.0,2200025.0920153446
mea,0.6SOC,0.6,8760.0,0.0726027397260273,0.3506849315068493,31.37628112836692,206.2300722701146,847.9423357825876,274856.2226844942,2748562226.844942,6.954994284439463,92.4,0.0,1636649.4765264771
mea,0.7SOC,0.7,8760.0,0.0220319634703196,0.0658675799086758,5.421537824942839,0.0,160.94892687756263,47492.67134649927,474926713.4649927,1.990841408896864,0.0,0.0,1527872.1016528136
mea,0.8SOC,0.8,8760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603299.0200239008
mea,0.9SOC,0.9,8760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707784.1438027888
mea,1.0SOC,1.0,8760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934555.034279659
