case,tag,soc_frac,tech,n_anchors,slack_probability,slack_MWh_mean,slack_MWh_p95,slack_MWh_p99,slack_MWh_max,slack_fraction_mean,slack_fraction_p95,slack_cost_total_USD
mea,0.5SOC,0.5,H2,8760,0.21997716894977168,244.81918457778713,1276.9113273999756,1276.9113273999765,4952.093679469747,0.04376900938304626,0.22828743575252686,2144616056.9014149
mea,0.6SOC,0.6,H2,8760,0.2271689497716895,372.93829359484926,2395.5986727554155,2395.5986727554155,5051.283648467997,0.055561889140758304,0.3569061964604389,3266939451.8908796
mea,0.7SOC,0.7,H2,8760,0.24885844748858446,446.58209180832444,2923.7257047228277,3514.2860181108563,5042.344669911815,0.057028840052385774,0.37336178192127634,3912059124.240922
mea,0.8SOC,0.8,H2,8760,0.2759132420091324,478.72163157971,2970.8444927572896,3981.8313118514598,5188.942154129597,0.053491446198893663,0.33195652309508356,4193601492.63826
mea,0.9SOC,0.9,H2,8760,0.3245433789954338,468.13660068825175,2484.31114769703,3495.5593738986327,3880.984419669263,0.046496617728095754,0.24674863187858093,4100876622.029085
mea,1.0SOC,1.0,H2,8760,0.38858447488584474,566.8803498459525,2443.9277803509244,3452.8572085562123,4461.40733555421,0.050673707197951494,0.21846388005528158,4965871864.650545
mea,0.5SOC,0.5,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
mea,0.6SOC,0.6,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
mea,0.7SOC,0.7,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
mea,0.8SOC,0.8,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
mea,0.9SOC,0.9,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
mea,1.0SOC,1.0,Li-Ion,8760,0.0,0.0,0.0,0.0,0.0,,,0.0
