"Scenario","VRE unit ID","Technology","Selection ","latitude","longitude","Capacity (MW)"
"1","3621133","Solar PV",0.03648,35.08600,-118.27600,10000.00000
"1","994997","Wind",0.22132,33.91900,-116.82900,1300.29960
