hour,EUE,USE_hours,max_unserved_MW,objective_value,solver_status,solve_time_s,truncated,error_message
1,0.0,0,0.0,1908482.3528693048,optimal,1.607149000003119,False,
2,0.0,0,0.0,1855973.5599022964,optimal,2.0697971000045072,False,
3,0.0,0,0.0,1824588.002799358,optimal,1.9912751000083517,False,
4,0.0,0,0.0,1830593.7887044146,optimal,1.925006499994197,False,
5,0.0,0,0.0,1849682.6518766342,optimal,1.439805100002559,False,
6,0.0,0,0.0,1877599.9284936772,optimal,2.652362799999537,False,
7,0.0,0,0.0,1869314.2308682147,optimal,2.0140217000007397,False,
8,0.0,0,0.0,1899305.2965542597,optimal,2.6940208000014536,False,
9,0.0,0,0.0,1917387.8946682215,optimal,2.404654500001925,False,
10,0.0,0,0.0,1941652.669971797,optimal,1.8471327000006568,False,
11,0.0,0,0.0,1989245.9826305434,optimal,2.4820861000043806,False,
12,0.0,0,0.0,2001108.8860164485,optimal,2.3434047999908216,False,
13,0.0,0,0.0,2032838.9382809487,optimal,1.6211826999933692,False,
14,0.0,0,0.0,2038753.0716631522,optimal,1.9424031000089599,False,
15,0.0,0,0.0,2049130.2401701112,optimal,2.233851800003322,False,
16,0.0,0,0.0,2079231.629771814,optimal,2.1204620000062278,False,
17,0.0,0,0.0,2127423.0572155095,optimal,1.8140669999993406,False,
18,0.0,0,0.0,2171664.7031242526,optimal,0.34882090000610333,False,
19,0.0,0,0.0,2220170.789356733,optimal,2.041373999993084,False,
20,0.0,0,0.0,2257378.9420133373,optimal,0.21990330000699032,False,
21,0.0,0,0.0,2290025.1564747333,optimal,1.9711973999947077,False,
22,0.0,0,0.0,2326720.5123662357,optimal,0.12257209999370389,False,
23,0.0,0,0.0,2352087.59910296,optimal,0.20766900001035538,False,
24,0.0,0,0.0,2378507.057976515,optimal,1.7343550000077812,False,
25,0.0,0,0.0,2405543.949227656,optimal,1.7072042999934638,False,
26,0.0,0,0.0,2428873.5324626723,optimal,0.1528818999940995,False,
27,0.0,0,0.0,2443045.4800270624,optimal,0.14083030000620056,False,
28,0.0,0,0.0,2450967.1459850557,optimal,0.11818079999648035,False,
29,0.0,0,0.0,2460599.77457068,optimal,0.11448530000052415,False,
30,0.0,0,0.0,2461664.9525772748,optimal,0.09641299999202602,False,
31,0.0,0,0.0,2455687.472969325,optimal,0.08170910000626463,False,
32,0.0,0,0.0,2464559.254824224,optimal,0.09170810000796337,False,
33,0.0,0,0.0,2482998.8946719635,optimal,0.08139639999717474,False,
34,0.0,0,0.0,2509509.110464079,optimal,0.07714520000445191,False,
35,0.0,0,0.0,2529591.623598116,optimal,0.1333334999944782,False,
36,0.0,0,0.0,2565736.2396607394,optimal,0.11241610000433866,False,
37,0.0,0,0.0,2585643.690261537,optimal,0.10003380000125617,False,
38,0.0,0,0.0,2584523.7294968157,optimal,0.14070299999730196,False,
39,0.0,0,0.0,2593215.8667212357,optimal,0.1109299999952782,False,
40,0.0,0,0.0,2587871.514849608,optimal,0.08887619999586605,False,
41,0.0,0,0.0,2599051.596852536,optimal,0.08884470000339206,False,
42,0.0,0,0.0,2606657.358042766,optimal,0.07772709999699146,False,
43,0.0,0,0.0,2608561.2963904515,optimal,0.10030399999232031,False,
44,0.0,0,0.0,2625021.660071567,optimal,0.11057799999252893,False,
45,0.0,0,0.0,2640374.8864617767,optimal,0.4698066000128165,False,
46,0.0,0,0.0,2655772.5329176118,optimal,0.28172270000504795,False,
47,0.0,0,0.0,2674808.80348079,optimal,0.5132502000051318,False,
48,0.0,0,0.0,2692043.9207604313,optimal,0.3594293999922229,False,
49,0.0,0,0.0,2709337.3259796537,optimal,0.44426930000190623,False,
50,0.0,0,0.0,2725366.610986999,optimal,0.40898820001166314,False,
51,0.0,0,0.0,2738974.7450513667,optimal,0.2747066000010818,False,
52,0.0,0,0.0,2744850.40700986,optimal,0.3517823000001954,False,
53,0.0,0,0.0,2744657.2472872525,optimal,0.34515490000194404,False,
54,0.0,0,0.0,2770231.386767502,optimal,0.1354356999945594,False,
55,0.0,0,0.0,2785477.1014234447,optimal,0.13506120000965893,False,
56,0.0,0,0.0,2797973.3735529236,optimal,0.10711649998847861,False,
57,0.0,0,0.0,2802598.6260106987,optimal,0.087173799998709,False,
58,0.0,0,0.0,2804263.9954957454,optimal,0.10663059999933466,False,
59,0.0,0,0.0,2808252.577727495,optimal,0.06821119999221992,False,
60,0.0,0,0.0,2809971.3127274946,optimal,0.07555859998683445,False,
61,0.0,0,0.0,2809734.3563138647,optimal,0.07980809999571647,False,
62,0.0,0,0.0,2801882.35860588,optimal,0.14173010000376962,False,
63,0.0,0,0.0,2788833.3195857015,optimal,0.15450309999869205,False,
64,0.0,0,0.0,2772040.58867039,optimal,0.12734849999833386,False,
65,0.0,0,0.0,2770753.157356715,optimal,0.12782249999872874,False,
66,0.0,0,0.0,2768988.960674621,optimal,0.09390439999697264,False,
67,0.0,0,0.0,2771437.230674621,optimal,0.08950560000084806,False,
68,0.0,0,0.0,2772501.1570043364,optimal,0.0983091000089189,False,
69,0.0,0,0.0,2771236.5217160415,optimal,0.08173079999687616,False,
70,0.0,0,0.0,2766730.257958764,optimal,0.100028700006078,False,
71,0.0,0,0.0,2766954.538268006,optimal,0.09367319999728352,False,
72,0.0,0,0.0,2770771.8294431586,optimal,0.0891641000052914,False,
73,0.0,0,0.0,2776586.2183343647,optimal,0.08547940000426024,False,
74,0.0,0,0.0,2781964.993334364,optimal,0.09103529999265447,False,
75,0.0,0,0.0,2787845.312177656,optimal,0.08140100000309758,False,
