"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Vanadium","28",0.00000,0.00000,0.00000
"1","PHS","28",0.00000,0.00000,0.00000
"1","H2","28",0.00000,10.28728,10584.44571
"1","Li-Ion","29",0.00000,0.00000,206.96405
"1","Vanadium","29",0.00000,0.00000,0.00000
"1","PHS","29",0.00000,0.00000,0.00000
"1","H2","29",0.00000,0.00000,10584.44571
"1","Li-Ion","30",0.00000,0.00000,206.96405
"1","Vanadium","30",0.00000,0.00000,0.00000
"1","PHS","30",0.00000,0.00000,0.00000
"1","H2","30",0.00000,0.00000,10584.44571
"1","Li-Ion","31",0.00000,0.00000,206.96405
"1","Vanadium","31",0.00000,0.00000,0.00000
"1","PHS","31",0.00000,0.00000,0.00000
"1","H2","31",0.00000,0.00000,10584.44571
"1","Li-Ion","32",0.00000,0.00000,206.96405
"1","Vanadium","32",0.00000,0.00000,0.00000
"1","PHS","32",0.00000,0.00000,0.00000
"1","H2","32",0.00000,0.00000,10584.44571
"1","Li-Ion","33",0.00000,8.87925,197.33315
"1","Vanadium","33",0.00000,0.00000,0.00000
"1","PHS","33",0.00000,0.00000,0.00000
"1","H2","33",0.00000,0.00000,10584.44571
"1","Li-Ion","34",0.00000,19.75108,175.91010
"1","Vanadium","34",0.00000,0.00000,0.00000
"1","PHS","34",0.00000,0.00000,0.00000
"1","H2","34",0.00000,0.00000,10584.44571
"1","Li-Ion","35",0.00000,0.00000,175.91010
"1","Vanadium","35",0.00000,0.00000,0.00000
"1","PHS","35",0.00000,0.00000,0.00000
"1","H2","35",0.00000,0.00000,10584.44571
"1","Li-Ion","36",0.00000,31.43923,141.80946
"1","Vanadium","36",0.00000,0.00000,0.00000
"1","PHS","36",0.00000,0.00000,0.00000
"1","H2","36",0.00000,0.00000,10584.44571
"1","Li-Ion","37",0.00000,0.00000,141.80946
"1","Vanadium","37",0.00000,0.00000,0.00000
"1","PHS","37",0.00000,0.00000,0.00000
"1","H2","37",0.00000,0.00000,10584.44571
"1","Li-Ion","38",0.00000,0.00000,141.80946
"1","Vanadium","38",0.00000,0.00000,0.00000
"1","PHS","38",0.00000,0.00000,0.00000
"1","H2","38",0.00000,0.00000,10584.44571
"1","Li-Ion","39",0.00000,0.00000,141.80946
"1","Vanadium","39",0.00000,0.00000,0.00000
"1","PHS","39",0.00000,0.00000,0.00000
"1","H2","39",0.00000,0.00000,10584.44571
"1","Li-Ion","40",0.00000,32.78547,106.24863
"1","Vanadium","40",0.00000,0.00000,0.00000
"1","PHS","40",0.00000,0.00000,0.00000
"1","H2","40",0.00000,0.00000,10584.44571
"1","Li-Ion","41",0.00000,38.68306,64.29096
"1","Vanadium","41",0.00000,0.00000,0.00000
"1","PHS","41",0.00000,0.00000,0.00000
"1","H2","41",0.00000,0.00000,10584.44571
"1","Li-Ion","42",0.00000,0.00000,64.29096
"1","Vanadium","42",0.00000,0.00000,0.00000
"1","PHS","42",0.00000,0.00000,0.00000
"1","H2","42",0.00000,0.00000,10584.44571
"1","Li-Ion","43",14.44278,0.00000,77.60654
"1","Vanadium","43",0.00000,0.00000,0.00000
"1","PHS","43",0.00000,0.00000,0.00000
"1","H2","43",0.00000,0.00000,10584.44571
"1","Li-Ion","44",0.00000,0.00000,77.60654
"1","Vanadium","44",0.00000,0.00000,0.00000
"1","PHS","44",0.00000,0.00000,0.00000
"1","H2","44",0.00000,0.00000,10584.44571
"1","Li-Ion","45",0.00000,0.00000,77.60654
"1","Vanadium","45",0.00000,0.00000,0.00000
"1","PHS","45",0.00000,0.00000,0.00000
"1","H2","45",0.00000,0.00000,10584.44571
"1","Li-Ion","46",0.00000,0.00000,77.60654
"1","Vanadium","46",0.00000,0.00000,0.00000
"1","PHS","46",0.00000,0.00000,0.00000
"1","H2","46",0.00000,0.00000,10584.44571
"1","Li-Ion","47",0.00000,0.00000,77.60654
"1","Vanadium","47",0.00000,0.00000,0.00000
"1","PHS","47",0.00000,0.00000,0.00000
"1","H2","47",0.00000,0.00000,10584.44571
"1","Li-Ion","48",0.00000,8.55670,68.32549
"1","Vanadium","48",0.00000,0.00000,0.00000
"1","PHS","48",0.00000,0.00000,0.00000
"1","H2","48",0.00000,0.00000,10584.44571
"1","Li-Ion","49",0.00000,14.48728,52.61184
"1","Vanadium","49",0.00000,0.00000,0.00000
"1","PHS","49",0.00000,0.00000,0.00000
"1","H2","49",0.00000,0.00000,10584.44571
"1","Li-Ion","50",0.00000,0.00000,52.61184
"1","Vanadium","50",0.00000,0.00000,0.00000
"1","PHS","50",0.00000,0.00000,0.00000
"1","H2","50",0.00000,0.00000,10584.44571
"1","Li-Ion","51",22.12804,0.00000,73.01288
"1","Vanadium","51",0.00000,0.00000,0.00000
"1","PHS","51",0.00000,0.00000,0.00000
"1","H2","51",0.00000,0.00000,10584.44571
"1","Li-Ion","52",61.17424,0.00000,129.41274
"1","Vanadium","52",0.00000,0.00000,0.00000
"1","PHS","52",0.00000,0.00000,0.00000
"1","H2","52",0.00000,0.00000,10584.44571
"1","Li-Ion","53",76.84052,0.00000,200.25621
"1","Vanadium","53",0.00000,0.00000,0.00000
"1","PHS","53",0.00000,0.00000,0.00000
"1","H2","53",4.88843,0.00000,10587.53742
"1","Li-Ion","54",0.00000,0.00000,200.25621
"1","Vanadium","54",0.00000,0.00000,0.00000
"1","PHS","54",0.00000,0.00000,0.00000
"1","H2","54",0.00000,0.00000,10587.53742
"1","Li-Ion","55",27.10634,0.00000,225.24702
"1","Vanadium","55",0.00000,0.00000,0.00000
"1","PHS","55",0.00000,0.00000,0.00000
"1","H2","55",0.00000,0.00000,10587.53742
